Location,Latitude,Longitude,Cluster,Frequency
Andheri East,19.115491,72.854202,3,62
Bandra West,19.058336,72.830267,3,82
Chembur East,19.055292,72.903055,0,48
Dadar West,19.019282,72.842875,1,35
Fort,18.933266,72.836019,1,16
Ghatkopar East,19.086521,72.908956,0,53
Hiranandani Gardens,19.119284,72.908609,0,76
International Airport,19.096421,72.862288,3,93
Jogeshwari West,19.137622,72.83192,3,42
Kandivali West,19.20838,72.842058,2,27
Lower Parel,18.995706,72.830745,1,65
Malad West,19.186719,72.836496,2,17
Nariman Point,18.925648,72.82383,1,10
Powai,19.123011,72.908091,0,50
Queen's Necklace,18.935955,72.821655,1,27
R-City Mall,19.128251,72.928739,0,29
Sakinaka,19.102918,72.887755,3,72
Thane West,19.20892,72.978725,4,38
Upper Worli,19.01394,72.826691,1,47
Vashi,19.075768,73.000236,0,89
Worli,19.011696,72.81807,1,20
Chakala,19.108253,72.86501,3,56
D.N. Nagar,19.128151,72.820592,3,31
Juhu,19.107021,72.827528,3,44
Kala Nagar,19.044746,72.83904,1,12
Kemps Corner,18.964028,72.805597,1,11
LBS Road,19.068191,72.887081,0,20
Marol,19.118446,72.882778,3,30
Nahar Amrit Shakti,19.154249,72.93552,0,9
Oberoi Mall,19.174142,72.860757,2,18
Parel,18.995935,72.840466,1,40
Rajawadi,19.087317,72.908499,0,16
Seepz,19.115556,72.867778,3,25
Tardeo,18.968056,72.814957,1,14
Urmi Estate,18.996394,72.823583,1,6
Vikhroli,19.115007,72.928669,0,37
Wadala,19.025232,72.864869,1,23
Xavier's College,18.934505,72.825076,1,7
Yari Road,19.139546,72.81684,3,19
Zaveri Bazaar,18.951762,72.830754,1,8
Borivali West,19.228206,72.847376,2,34
Colaba,18.915091,72.825969,1,22
D.N. Road,18.934654,72.83631,1,15
Elphinstone Road,18.996324,72.833905,1,28
Girgaon Chowpatty,18.954758,72.817825,1,24
Hinduja Hospital,18.986933,72.826002,1,21
Jogeshwari East,19.134363,72.864202,3,45
Kanjurmarg,19.131379,72.928189,0,26
Lokhandwala,19.139291,72.829412,3,36
Matunga East,19.027001,72.855104,1,33
Navi Mumbai,19.033048,73.029662,0,27
Oshiwara,19.148919,72.832726,3,10
Powai,19.11872,72.907348,0,42
Queen's Necklace,18.928626,72.820669,1,13
R-City Mall,19.145602,72.948203,0,17
Santacruz West,19.081399,72.837747,3,29
Thane West,19.193151,72.967925,4,38
Union Park,19.070386,72.83273,3,12
Vasai,19.37555,72.826157,2,31
Worli,19.00882,72.818908,1,35
X-Thetics Gym,19.103249,72.86087,3,5
Yogakshema,19.123089,72.836787,3,9
Zodiac Shopping Center,18.953903,72.8222,1,16
Andheri West,19.124085,72.831373,3,44
Bandra West,19.058336,72.830267,3,39
Chembur East,19.062657,72.902376,0,32
Dadar West,19.025445,72.844421,1,43
Eastern Express Highway,19.063038,72.885471,0,21
Film City Road,19.156073,72.897831,3,28
Goregaon East,19.158605,72.869815,3,30
Haji Ali,18.975294,72.810411,1,11
International Airport,19.08956,72.86562,3,24
Juhu Tara Road,19.101008,72.825022,3,18
Khar West,19.068104,72.835186,3,19
Lower Parel,18.995575,72.831385,1,26
Mahim,19.039047,72.844841,1,15
Nariman Point,18.925373,72.823881,1,20
Oberoi Mall,19.174908,72.860542,2,23
Palm Beach Road,19.007446,73.016616,0,8
Queensland Amusement Park,19.178586,72.944036,4,3
Rajawadi,19.081778,72.903935,0,7
Seawoods Grand Central Mall,19.026059,73.019238,0,36
The Taj Mahal Palace Hotel,18.92173,72.833984,1,14
Upper Worli,19.016764,72.824476,1,6
Vashi,19.075713,72.999716,0,25
Wadala,19.02701,72.868849,1,33
Xaviers College,18.932353,72.827965,1,4
Yogi Nagar,19.166605,72.841522,3,22
Zaveri Bazaar,18.951026,72.830718,1,41
Andheri East,19.119697,72.854786,3,37
Borivali West,19.231423,72.847707,2,40
Cuffe Parade,18.91117,72.822496,1,2
Dombivali East,19.21482,73.081415,4,34
Elephanta Caves,18.964253,72.931794,1,1
Fountain,18.934618,72.833678,1,45
Ghatkopar West,19.086573,72.908979,0,46
Hiranandani Gardens,19.11769,72.911896,0,27
Infinity Mall,19.142272,72.83067,3,48
Jogeshwari East,19.132774,72.860703,3,49
Kanjurmarg East,19.142327,72.930414,0,50
Bandra Kurla Complex,19.068209,72.869947,3,78
Mahim,19.035907,72.840364,1,29
