location,frequency,latitude,longitude,Cluster
azad maidan,0.0,0.07130071599045679,0.2342054881940665,1
bandra,0.43243243243243246,0.4158711217183825,0.26547543075942776,0
bhoiwada,0.02702702702702703,0.31533412887828827,0.3675813656669279,1
bkc,0.24324324324324326,0.4537589498806701,0.4039566049777412,3
borivali,0.2702702702702703,0.9370525059665855,0.37460114869177713,3
byculla,0.0,0.18466587112172234,0.2163369495852109,1
chembur,0.7297297297297297,0.4394391408114593,0.6541161455009941,2
chunabhatti,0.0,0.39737470167065053,0.5481812380345182,1
colaba,0.05405405405405406,0.0,0.17358008934274113,1
d.b.marg,0.02702702702702703,0.08323389021480443,0.2303765156350001,1
dadar,0.6756756756756757,0.31115751789976714,0.279514996809217,2
dahisar,0.24324324324324326,1.0,0.38864071474156636,3
deonar,0.0,0.4069212410501244,0.6770899808552111,1
dharavi,0.08108108108108109,0.36992840095466045,0.3624760689215665,1
dindoshi,0.21621621621621623,0.7676014319809082,0.40650925335042193,3
ghatkopar,0.10810810810810811,0.5116348448687398,0.6981493299298496,1
goregaon,0.5135135135135135,0.7446300715990473,0.32354818123807244,0
jogeshwari,0.2972972972972973,0.6560262529832901,0.3203573707721989,3
kalbadevi,0.05405405405405406,0.10352028639618377,0.20931716656036164,1
kandivali,0.1891891891891892,0.8752983293556132,0.27823867262292196,3
kanjurmarg,0.0,0.6455847255369925,0.8257817485641568,1
kurla,0.2972972972972973,0.4838902147971418,0.5149968091895785,3
mahim,0.05405405405405406,0.3606801909307945,0.2661135928526206,1
malad,0.5405405405405406,0.8105608591885407,0.31908104658590386,0
malbarhill,0.0,0.12887828162291856,0.0,1
mankhurd,0.16216216216216217,0.3985680190930821,0.8921506062540363,3
marinedrive,0.0,0.08860381861575717,0.16081684747933764,1
matunga,0.35135135135135137,0.3341288782816281,0.3624760689215665,0
MHB,0.0,0.7941527446300747,0.2833439693682834,1
MIDC,0.32432432432432434,0.6065035799522733,0.422463305679699,3
mulund,0.35135135135135137,0.7661097852028688,1.0,0
D.N. nagar,1.0,0.6405131264916477,0.19591576260376528,4
nagpada,0.05405405405405406,0.15900954653937965,0.1780472239949097,1
oshiwara,0.1891891891891892,0.7130071599045361,0.28908742820683764,3
powai,0.24324324324324326,0.6076968973747049,0.693682195277681,3
pydhunie,0.10810810810810811,0.1172434367541788,0.2214422463305723,1
sahar police station,0.40540540540540543,0.5528042959427248,0.4058710912572291,0
sakinaka,0.21621621621621623,0.5536992840095485,0.5896617740906931,3
samtanagar,0.2702702702702703,0.8785799522673,0.3726866624122893,3
Santacruz,0.43243243243243246,0.4976133651551368,0.27440970006385557,0
tardeo,0.2972972972972973,0.16646778042959826,0.09508615188265086,3
Trombey,0.0,0.46390214797135976,0.09891512444162658,1
vakola,0.24324324324324326,0.4916467780429577,0.35545628589662653,3
vikhroli,0.1891891891891892,0.6076968973747049,0.8283343969368374,3
wadala,0.08108108108108109,0.328162291169449,0.4173580089343376,1
worli,0.21621621621621623,0.288484486873514,0.12635609444801213,3
